OBJECTID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_Acres_AutoCalc,poly_GlobalID,poly_Source,irwin_ABCDMisc,irwin_ADSPermissionState,irwin_CalculatedAcres,irwin_ContainmentDateTime,irwin_ControlDateTime,irwin_DailyAcres,irwin_DiscoveryAcres,irwin_DispatchCenterID,irwin_EstimatedCostToDate,irwin_FFReportApprovedByTitle,irwin_FFReportApprovedByUnit,irwin_FFReportApprovedDate,irwin_FireBehaviorGeneral,irwin_FireBehaviorGeneral1,irwin_FireBehaviorGeneral2,irwin_FireBehaviorGeneral3,irwin_FireCause,irwin_FireCauseGeneral,irwin_FireCauseSpecific,irwin_FireCode,irwin_FireDepartmentID,irwin_FireDiscoveryDateTime,irwin_FireMgmtComplexity,irwin_FireOutDateTime,irwin_FSConfinePercent,irwin_FSFullSuppPercent,irwin_FSMonitorPercent,irwin_FSPointZonePercent,irwin_FSJobCode,irwin_FSOverrideCode,irwin_GACC,irwin_ICS209ReportDateTime,irwin_ICS209RForTimePeriodFrom,irwin_ICS209RForTimePeriodTo,irwin_ICS209ReportStatus,irwin_IncidentManagementOrg,irwin_IncidentName,irwin_IncidentShortDescription,irwin_IncidentTypeCategory,irwin_IncidentTypeKind,irwin_InitialLatitude,irwin_InitialLongitude,irwin_InitialResponseAcres,irwin_InitialResponseDateTime,irwin_IrwinID,irwin_IsFireCauseInvestigated,irwin_IsFireCodeRequested,irwin_IsFSAssisted,irwin_IsMultiJurisdictional,irwin_IsReimbursable,irwin_IsTrespass,irwin_IsUnifiedCommand,irwin_LocalIncidentIdentifier,irwin_PercentContained,irwin_PercentPerToBeContained,irwin_POOCity,irwin_POOCounty,irwin_POODispatchCenterID,irwin_POOFips,irwin_POOJurisdictionalAgency,irwin_POOJurisdictionalUnit,irwin_POOJurisdUnitParentUnit,irwin_POOLandownerCategory,irwin_POOLandownerKind,irwin_POOLegalDescPrinMeridian,irwin_POOLegalDescQtr,irwin_POOLegalDescQtrQtr,irwin_POOLegalDescRange,irwin_POOLegalDescSection,irwin_POOLegalDescTownship,irwin_POOPredServiceAreaID,irwin_POOProtectingAgency,irwin_POOProtectingUnit,irwin_POOState,irwin_PredominantFuelGroup,irwin_PredominantFuelModel,irwin_PrimaryFuelModel,irwin_SecondaryFuelModel,irwin_TotalIncidentPersonnel,irwin_UniqueFireIdentifier,irwin_WFDSSDecisionStatus,irwin_CreatedBySystem,irwin_ModifiedBySystem,irwin_IsDispatchComplete,irwin_OrganizationalAssessment,irwin_StratDecisionPublishDate,irwin_GlobalID,irwin_Source,irwin_ArchivedOn,irwin_ModifiedOnDateTime_dt,irwin_CreatedOnDateTime_dt,GlobalID,SHAPE_Length,SHAPE_Area
136,Beach,Wildfire Daily Fire Perimeter,Mixed Methods,0.93,2021/05/04 22:55:36+00,2021/05/04 22:55:36+00,,0.934468211073125,{ACB5D2C6-9B76-4E5D-994F-F0C852A728C5},2021 NIFS,,DEFAULT,,2021/03/07 18:38:00+00,2021/03/09 00:59:59+00,0.5,0.5,AZADC,,,,,,,,,Human,,,NUP8,,2021/03/07 07:08:00+00,,2021/03/09 00:59:59+00,,,,,PN,1522,SWCC,,,,,,BEACH,,WF,FI,34.4559,-114.3719,0.5,,{22B5AFC2-39B0-486E-ACAD-E911981E1354},,0,0,0,0,0,,000198,,,,Mohave,AZPDC,04015,SF,AZA5S,,,,,,,,,,SW02,SF,AZA5S,US-AZ,,,,,,2021-AZA5S-000198,No Decision,wildcad,wildcad,0,,,,IRWIN,,2021/03/27 17:17:47+00,2021/03/07 15:01:34+00,{BA4D59C9-E0D0-4B4C-9D7F-C6CFC3E415EB},0.00417045894230231,-3.7099939152786e-07
142,MCCLUNG,Wildfire Daily Fire Perimeter,Auto-generated,1,2021/05/04 22:55:53+00,2021/05/04 22:55:53+00,2021/03/21 03:10:00+00,1.39069382848944,{6EB5CD0D-F677-4C9A-B523-69812F710975},2021 NIFS,,DEFAULT,,2021/03/21 01:30:00+00,2021/04/16 17:00:00+00,1.5,1,ARAOC,,,,,,,,,Human,Debris/Open Burning,,NV0A,,2021/03/20 22:10:00+00,,2021/04/16 17:00:00+00,,,,,PA,1522,SACC,,,,,,MCCLUNG,,WF,FI,34.60244,-98.68604,1.5,2021/03/20 22:14:00+00,{36ABE65C-154E-4FD8-8046-66F7241382CC},,0,1,0,0,0,,000618,,,,Comanche,ARAOC,40031,BIA,OKANA,,BIA,Federal,,,,,,,SA02,BIA,OKANA,US-OK,Grass,GR2,,,,2021-OKANA-000618,No Decision,wildcad,wildcad,0,,,,IRWIN,,2021/04/19 13:32:10+00,2021/03/21 13:46:01+00,{6DADBF15-B10E-409E-9E1F-9C7518884BCA},0.0029754543581474,-5.53084847556325e-07
167,MARTIN,Wildfire Daily Fire Perimeter,Auto-generated,0.1,2021/05/04 22:55:41+00,2021/05/04 22:55:41+00,2021/03/09 07:30:00+00,91.8194114427307,{A4978030-5D1A-40D9-9FDE-A00629509FCE},2021 NIFS,,DEFAULT,,2021/03/09 06:59:59+00,2021/03/09 07:01:00+00,101,1,ARAOC,,,,,,,,,Human,Debris/Open Burning,,NU3X,,2021/03/09 01:30:00+00,,2021/03/09 07:20:00+00,,,,,PA,1522,SACC,,,,,,MARTIN,,WF,FI,34.91935,-95.1033,101,,{961501ED-6CAD-4565-ACA9-8A2114954896},,0,1,0,0,0,,000488,,,,Latimer,ARAOC,40077,,,,Private,Private,,,,,,,SA17A,BIA,OKTLA,US-OK,,,,,,2021-OKTLA-000488,No Decision,wildcad,firecode,0,,,,IRWIN,,2021/03/10 20:31:32+00,2021/03/10 16:04:01+00,{96ED9BB2-C6FE-4C15-A6E3-2F46E6156FA3},0.0248962633971395,-3.66756235955936e-05
173,Oregon Basin,Wildfire Daily Fire Perimeter,GPS-Walked,16.5,2021/06/17 20:36:26+00,2021/06/17 20:36:26+00,2021/02/03 17:56:34+00,18.6683414521553,{0F077EB2-A6BE-4C28-9A0B-ABED2A6CB75E},FFP,,CERTIFIED,,2021/01/30 00:59:59+00,2021/01/30 17:48:59+00,16,10,WYCDC,,,,2021/06/17 20:36:24+00,,,,,Human,Utilities,,NTP8,,2021/01/29 23:12:00+00,,2021/01/30 17:48:59+00,,,,,,,RMCC,,,,,,OREGON BASIN,,WF,FI,44.38801,-108.9772,10,2021/01/30 00:30:00+00,{DF96D6D8-E734-4C70-B80F-853BB51F21A5},,0,1,0,0,0,,000027,,,,Park,WYCDC,56029,BLM,WYCOD,,BLM,Federal,,,,,,,RM02,BLM,WYWBD,US-WY,Grass-Shrub,GS1,,,,2021-WYWBD-000027,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/06/17 20:36:24+00,2021/01/30 01:51:35+00,{319961A9-67EC-46ED-A348-F97C13B425BD},0.0144022429735749,-8.52569654878853e-06
197,Wetlands,Wildfire Daily Fire Perimeter,Mixed Methods,44.8545896903411,2021/05/04 22:51:47+00,2021/05/04 22:51:47+00,,44.8544624242996,{3FAB44AD-1DE2-4410-BB97-227C99D7FED3},2021 NIFS,,CERTIFIED,,2021/02/19 00:59:59+00,2021/02/20 18:46:00+00,45,4,NVLIC,,,,,,,,,Human,Other Human Cause,,NT3Q,,2021/02/18 03:20:00+00,,2021/03/05 15:59:59+00,,,,,,,GBCC,,,,,,WETLANDS,,WF,FI,36.09058,-115.0345,4,,{9EC226F9-200B-4DE3-A48C-70309C7FD93C},,0,1,0,0,0,,500167,,,,Clark,NVLIC,32003,,,,Private,Private,,,,,,,GB24,C&L,NVCLRX,US-NV,,,,,,2021-NVCLRX-500167,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/08/03 01:16:41+00,2021/02/18 05:56:22+00,{B0D4087C-93A5-4043-89D6-D0585D89DDF9},0.0227100246950361,-1.81679651491905e-05
216,Lake Catherine 2,Wildfire Daily Fire Perimeter,Phone/Tablet,4.63573548143852,2021/05/04 22:55:43+00,2021/05/04 22:55:43+00,2021/03/13 01:44:00+00,4.63570077206419,{9A8AD7A6-6D02-43D1-8B05-0A86DE369209},2021 NIFS,,CERTIFIED,,2021/03/13 00:00:00+00,2021/03/15 16:20:00+00,4.7,1,FLFIC,,,,2021/07/13 12:11:02+00,,,,,Human,Camping,,NU6Q,,2021/03/12 19:44:00+00,,2021/03/31 14:24:00+00,,,,,P8,0805,SACC,,,,,,Lake Catherine 2,,WF,FI,29.05793,-81.83696,,2021/03/12 20:15:00+00,{24A78C3E-8CF3-4601-A90C-826A9FCA0239},,0,0,0,0,0,,000263,,,,Marion,FLFIC,12083,FS,FLFNF,,USFS,Federal,,,,,,,SA48,FS,FLFNF,US-FL,Timber,TU2,,,,2021-FLFNF-000263,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/07/13 12:11:04+00,2021/03/12 20:31:58+00,{806DF5D8-DCC3-4BC1-8765-F925D0E2F463},0.00562015649079746,-1.73815512683885e-06
223,LUTIE,Wildfire Daily Fire Perimeter,Auto-generated,0.1,2021/05/04 22:51:35+00,2021/05/04 22:51:35+00,2021/02/04 12:30:00+00,12.6846960577721,{AFE92CC6-CF6A-4C8C-B094-C2F078BB74DD},2021 NIFS,,DEFAULT,,2021/02/04 05:29:59+00,2021/02/04 15:59:59+00,13,1,ARAOC,,,,,,,,,Human,Incendiary,"Other, Unknown",NTX2,,2021/02/04 05:29:59+00,,2021/02/20 18:00:00+00,,,,,PA,1522,SACC,,,,,,LUTIE,,WF,FI,34.89812,-95.26555,13,2021/02/03 23:29:59+00,{C5288807-0155-452D-AE56-9979035108AE},1,0,1,0,0,0,,000197,,,,Latimer,ARAOC,40077,BIA,OKTLA,,BIA,Federal,,,,,,,SA17A,BIA,OKTLA,US-OK,Timber,TL6,,,,2021-OKTLA-000197,No Decision,wildcad,wildcad,0,,,,IRWIN,,2021/03/08 15:31:04+00,2021/02/04 19:38:43+00,{C406810B-ED2D-4B74-A2FC-84B2E416F6C7},0.0118685017804807,-5.06242200693349e-06
229,Sierra,Wildfire Daily Fire Perimeter,Mixed Methods,0.35,2021/10/13 14:28:26+00,2021/10/13 14:28:26+00,,0.34642066571373,{B46B24DC-2E9B-447F-87A5-5B818BB77733},FFP,,CERTIFIED,,2021/03/19 18:45:00+00,2021/03/21 18:00:00+00,0.35,1,FLFIC,,,,2021/10/13 14:28:14+00,,,,,Human,Other Human Cause,,NVS1,,2021/03/19 17:31:00+00,,2021/03/21 18:00:00+00,,,,,PP,1522,SACC,,,,,,Sierra,,WF,FI,25.42499,-80.78468,1,2021/03/19 17:35:00+00,{A34F0D8F-AD15-43CB-8D0C-101CC6D8E520},1,0,1,0,0,0,,000285,,,,Miami-Dade,FLFIC,12086,NPS,FLEVP,,NPS,Federal,,,,,,,SA51B,NPS,FLEVP,US-FL,Grass,GR5,,,,2021-FLEVP-000285,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/10/13 14:28:14+00,2021/03/19 18:07:14+00,{1CFEC666-2548-429C-90F6-4B6BF4C630C3},0.00212665738270417,-1.25762747934794e-07
238,Rocky,Wildfire Daily Fire Perimeter,Hand Sketch,,2021/05/04 22:51:47+00,2021/05/05 20:21:31+00,2021/02/26 22:37:06+00,0.216046973025434,{10DBF8F4-6D0E-42DF-B1B9-3466DD67801B},2021 NIFS,,DEFAULT,0.22,,,0.2,0.2,CAVNCC,,,,,,,,,Unknown,Cause and Origin Not Identified,,,,2021/02/26 21:23:37+00,,,,,,,,,OSCC,,,,,,Rocky,,WF,FI,,,,,{2B4B103F-8199-44C1-97F8-9D8AA6A6B6C0},,0,,,,,,9999991,,,,Ventura,CAVNCC,06111,C&L,CAVNC,,Private,Private,,,,,,,SC08,C&L,CAVNC,US-CA,Brush,SH2,,,,2021-CAVNC-9999991,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2021/03/04 22:58:44+00,2021/02/26 22:03:50+00,{FB9AEE4D-CA7E-45F7-ADAA-86DDCD00DABE},0.00118978318698138,-8.55810459818317e-08
241,Penrose Fire,Wildfire Daily Fire Perimeter,GPS-Walked,,2021/06/02 17:51:48+00,2021/06/02 17:51:48+00,,1.01220392947042,{A7E6F735-B5E6-44BB-BA3B-943934EBE55B},FFP,EKU6,CERTIFIED,,2021/02/12 17:54:00+00,2021/02/12 21:14:59+00,1,1,COPBC,,,,2021/06/02 17:51:47+00,,,,,Human,Firearms/Weapons,Ammunition,NT2L,,2021/02/11 17:48:59+00,,2021/02/21 18:59:59+00,,,,,P2,1522,RMCC,,,,,,Penrose,,WF,FI,38.7946,-104.8999,1,2021/02/11 18:04:59+00,{05A65E12-8C91-427F-A708-7970044CFF94},1,0,1,0,0,0,,000082,,,,Teller,COPBC,08119,FS,COPSF,,USFS,Federal,,,,,,,RM29,C&L,COTLX,US-CO,Grass,GR2,,,,2021-COTLX-000082,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2021/06/02 17:51:47+00,2021/02/11 21:20:48+00,{CB92CFA8-D1C9-4BBA-A09B-F5768D938DE6},0.00503027855270646,-4.24341852305714e-07
